dtg,value,type
2021-08-28,1,review
2021-08-31,2,review
2021-09-02,1,review
2021-09-05,2,review
2021-09-06,4,review
2021-09-07,5,review
2021-09-08,3,review
2021-09-09,5,review
2021-09-10,2,review
2021-09-11,2,review
2021-09-12,7,review
2021-09-13,6,review
2021-09-14,14,review
2021-09-15,26,review
2021-09-16,11,review
2021-09-17,2,meta
2021-09-17,2,review
2021-09-19,1,meta
2021-09-19,2,review
2021-09-20,1,review
2021-09-20,2,meta
2021-09-21,2,review
2021-09-21,4,meta
2021-09-22,5,meta
2021-09-22,3,review
2021-09-23,2,meta
2021-09-24,3,review
2021-09-25,1,meta
2021-09-26,2,meta
2021-09-27,2,meta
2021-09-27,1,review
2021-09-28,1,meta
2021-09-28,1,review
2021-09-29,1,review
2021-09-30,1,meta
2021-10-01,1,review
2021-10-04,1,review
2021-10-06,1,meta
2021-10-08,1,meta
2021-10-09,1,meta
2021-10-11,1,meta
2021-10-12,1,meta
2021-10-13,1,meta
2021-10-17,2,review
2021-10-20,1,meta
2021-10-24,1,meta
2021-10-28,1,review
2021-10-28,1,meta
2021-10-29,2,review
2021-11-01,1,meta
2021-11-03,1,review
2021-11-04,2,review
2021-11-04,1,meta
2021-11-05,1,meta
2021-11-08,1,review
2021-11-09,1,review
2021-11-10,1,meta
2021-12-05,1,review
2021-12-15,1,meta
2021-12-15,2,review
2021-12-16,1,meta
2021-12-16,1,review
2021-12-22,1,meta
2022-02-10,1,meta
