dtg,value,type
2021-12-28,7,review
2021-12-29,1,review
2021-12-30,3,review
2021-12-31,3,review
2022-01-01,2,review
2022-01-02,4,review
2022-01-03,1,review
2022-01-04,3,review
2022-01-05,5,review
2022-01-06,2,review
2022-01-07,4,review
2022-01-08,3,review
2022-01-09,11,review
2022-01-10,9,review
2022-01-11,7,review
2022-01-12,11,review
2022-01-13,13,review
2022-01-14,21,review
2022-01-15,26,review
2022-01-16,45,review
2022-01-17,111,review
2022-01-18,1,meta
2022-01-18,158,review
2022-01-19,1,meta
2022-01-19,77,review
2022-01-20,36,review
2022-01-20,4,meta
2022-01-21,19,review
2022-01-21,3,meta
2022-01-22,3,meta
2022-01-22,5,review
2022-01-23,10,review
2022-01-23,1,meta
2022-01-24,10,review
2022-01-24,20,meta
2022-01-25,8,review
2022-01-25,16,meta
2022-01-26,19,meta
2022-01-27,46,meta
2022-01-27,1,review
2022-01-28,30,meta
2022-01-28,2,review
2022-01-29,1,review
2022-01-29,5,meta
2022-01-30,9,meta
2022-01-30,2,review
2022-01-31,7,meta
2022-02-01,3,meta
2022-02-03,1,review
2022-02-03,3,meta
2022-02-07,3,meta
2022-02-08,1,review
2022-02-09,1,review
2022-02-10,1,meta
2022-02-11,1,meta
