dtg,value,type
2022-04-14,7,review
2022-04-15,24,review
2022-04-16,33,review
2022-04-17,18,review
2022-04-18,15,review
2022-04-19,20,review
2022-04-20,27,review
2022-04-21,24,review
2022-04-22,35,review
2022-04-23,46,review
2022-04-24,55,review
2022-04-25,1,meta
2022-04-25,143,review
2022-04-26,2,meta
2022-04-26,294,review
2022-04-27,74,review
2022-04-27,4,meta
2022-04-28,50,review
2022-04-28,22,meta
2022-04-29,26,review
2022-04-29,14,meta
2022-04-30,46,meta
2022-04-30,34,review
2022-05-01,51,meta
2022-05-01,25,review
2022-05-02,12,review
2022-05-02,27,meta
2022-05-03,26,review
2022-05-03,13,meta
2022-05-04,15,review
2022-05-04,17,meta
2022-05-05,17,review
2022-05-05,22,meta
2022-05-06,9,meta
2022-05-06,25,review
2022-05-07,9,review
2022-05-07,3,meta
2022-05-08,5,review
2022-05-09,10,meta
2022-05-10,3,review
2022-05-10,8,meta
2022-05-11,8,review
2022-05-11,9,meta
2022-05-12,5,meta
2022-05-12,11,review
2022-05-13,2,review
2022-05-13,2,meta
2022-05-14,2,meta
2022-05-14,1,review
2022-05-15,3,meta
2022-05-16,3,meta
2022-05-16,2,review
2022-05-17,1,meta
2022-05-17,2,review
2022-05-18,2,review
2022-05-18,1,meta
2022-05-19,3,meta
2022-05-19,1,review
2022-05-20,1,review
2022-05-21,2,review
2022-05-22,3,review
2022-05-22,1,meta
2022-05-23,1,review
2022-05-24,2,review
2022-05-25,2,meta
2022-05-26,3,review
2022-05-29,2,meta
2022-05-29,1,review
2022-05-30,3,meta
2022-05-30,1,review
2022-05-31,1,review
2022-06-01,1,meta
2022-06-01,3,review
2022-06-02,2,review
2022-06-06,1,review
2022-06-07,1,review
2022-06-08,1,meta
2022-06-09,1,meta
2022-06-09,3,review
2022-06-11,1,review
2022-06-13,1,meta
2022-06-14,1,review
2022-06-17,2,review
2022-06-22,1,meta
2022-06-24,1,review
2022-06-30,3,meta
2022-07-01,1,meta
2022-07-02,1,review
2022-07-02,2,meta
2022-07-03,1,review
2022-07-06,1,review
2022-07-07,1,meta
2022-07-07,1,review
2022-07-08,1,meta
2022-07-09,1,meta
2022-07-11,1,review
2022-07-12,1,review
2022-07-12,1,meta
2022-07-13,6,meta
2022-07-14,1,meta
2022-07-15,1,meta
2022-07-16,3,meta
2022-07-18,5,meta
2022-07-19,3,meta
2022-07-19,1,review
2022-07-20,1,meta
2022-07-21,3,review
2022-07-21,9,meta
2022-07-22,2,meta
