dtg,value,type
2022-09-19,3,review
2022-09-20,4,review
2022-09-21,2,review
2022-09-22,2,review
2022-09-23,4,review
2022-09-24,3,review
2022-09-25,5,review
2022-09-26,5,review
2022-09-27,10,review
2022-09-28,9,review
2022-09-29,6,review
2022-09-30,10,review
2022-10-01,8,review
2022-10-02,13,review
2022-10-03,27,review
2022-10-04,33,review
2022-10-05,74,review
2022-10-06,71,review
2022-10-07,30,review
2022-10-08,76,review
2022-10-09,2,meta
2022-10-09,47,review
2022-10-10,27,review
2022-10-10,3,meta
2022-10-11,3,meta
2022-10-11,14,review
2022-10-12,2,meta
2022-10-12,14,review
2022-10-13,13,review
2022-10-13,7,meta
2022-10-14,5,review
2022-10-14,3,meta
2022-10-15,6,meta
2022-10-15,5,review
2022-10-16,9,meta
2022-10-16,6,review
2022-10-17,3,meta
2022-10-17,2,review
2022-10-18,12,meta
2022-10-19,4,meta
2022-10-19,5,review
2022-10-20,7,meta
2022-10-20,7,review
2022-10-21,4,review
2022-10-21,5,meta
2022-10-22,16,review
2022-10-22,8,meta
2022-10-23,7,review
2022-10-23,6,meta
2022-10-24,14,meta
2022-10-24,3,review
2022-10-25,4,meta
2022-10-25,5,review
2022-10-26,9,meta
2022-10-26,3,review
2022-10-27,8,meta
2022-10-27,2,review
2022-10-28,1,meta
2022-10-28,5,review
2022-10-29,5,review
2022-10-29,7,meta
2022-10-30,2,review
2022-10-31,9,meta
2022-10-31,1,review
2022-11-01,3,meta
2022-11-02,1,review
2022-11-02,8,meta
2022-11-03,1,review
2022-11-03,3,meta
2022-11-04,3,review
2022-11-04,2,meta
2022-11-05,2,review
2022-11-05,3,meta
2022-11-06,3,meta
2022-11-07,6,meta
2022-11-07,1,review
2022-11-08,1,review
2022-11-08,2,meta
2022-11-09,2,review
2022-11-09,3,meta
2022-11-11,1,review
2022-11-14,1,meta
2022-11-15,3,meta
2022-11-17,1,meta
2022-11-18,5,meta
2022-11-19,1,review
2022-11-21,1,meta
2022-11-21,1,review
2022-11-23,2,meta
2022-11-24,1,meta
2022-11-25,1,meta
2022-11-26,1,meta
2022-11-28,1,meta
