dtg,value,type
2023-04-29,2,review
2023-04-30,1,review
2023-05-01,4,review
2023-05-02,3,review
2023-05-03,4,review
2023-05-04,7,review
2023-05-05,10,review
2023-05-06,7,review
2023-05-07,4,review
2023-05-08,5,review
2023-05-09,12,review
2023-05-10,12,review
2023-05-11,4,review
2023-05-12,7,review
2023-05-13,3,review
2023-05-14,11,review
2023-05-15,14,review
2023-05-16,30,review
2023-05-17,18,review
2023-05-18,20,review
2023-05-19,41,review
2023-05-20,84,review
2023-05-21,144,review
2023-05-22,43,review
2023-05-23,18,review
