dtg,value,type
2024-08-29,16,review
2024-08-30,16,review
2024-08-31,6,review
2024-09-01,5,review
2024-09-02,15,review
2024-09-03,12,review
2024-09-04,22,review
2024-09-05,14,review
2024-09-06,7,review
2024-09-07,7,review
2024-09-08,13,review
2024-09-09,20,review
2024-09-10,15,review
2024-09-11,16,review
2024-09-12,36,review
2024-09-13,27,review
2024-09-14,40,review
2024-09-15,39,review
2024-09-16,44,review
2024-09-17,100,review
2024-09-18,151,review
2024-09-19,280,review
2024-09-20,130,review
2024-09-21,56,review
2024-09-22,85,review
2024-09-23,56,review
2024-09-24,37,review
2024-09-25,44,review
2024-09-26,12,review
2024-09-27,2,review
2024-09-28,5,review
2024-09-29,2,review
2024-09-30,3,review
2024-10-01,6,meta
2024-10-02,17,meta
2024-10-02,2,review
2024-10-03,23,meta
2024-10-04,1,review
2024-10-04,27,meta
2024-10-05,18,meta
2024-10-06,48,meta
2024-10-07,128,meta
2024-10-08,1,review
2024-10-08,97,meta
2024-10-09,20,meta
2024-10-09,2,review
2024-10-10,17,meta
2024-10-11,6,meta
2024-10-12,2,meta
2024-10-13,1,meta
2024-10-16,1,meta
2024-10-17,1,review
