dtg,value,type
2025-01-03,25,review
2025-01-04,24,review
2025-01-05,30,review
2025-01-06,42,review
2025-01-07,56,review
2025-01-08,57,review
2025-01-09,40,review
2025-01-10,31,review
2025-01-11,43,review
2025-01-12,75,review
2025-01-13,94,review
2025-01-14,129,review
2025-01-15,133,review
2025-01-16,170,review
2025-01-17,239,review
2025-01-18,311,review
2025-01-19,868,review
2025-01-20,1585,review
2025-01-21,880,review
2025-01-22,398,review
2025-01-23,336,review
2025-01-24,282,review
2025-01-25,126,review
2025-01-26,83,review
2025-01-27,69,review
2025-01-28,35,review
2025-01-29,31,review
2025-01-30,23,review
2025-01-31,11,review
2025-02-01,8,review
2025-02-02,8,review
2025-02-03,91,meta
2025-02-03,2,review
2025-02-04,3,review
2025-02-04,178,meta
2025-02-05,168,meta
2025-02-06,318,meta
2025-02-07,614,meta
2025-02-08,1,review
2025-02-08,314,meta
2025-02-09,149,meta
2025-02-10,71,meta
2025-02-11,48,meta
2025-02-12,23,meta
2025-02-13,10,meta
2025-02-13,1,review
2025-02-16,1,meta
2025-02-17,1,meta
2025-02-18,1,meta
