dtg,value,type
2024-03-01,1,review
2024-03-02,64,review
2024-03-03,86,review
2024-03-04,79,review
2024-03-05,101,review
2024-03-06,117,review
2024-03-07,90,review
2024-03-08,104,review
2024-03-09,92,review
2024-03-10,88,review
2024-03-11,131,review
2024-03-12,264,review
2024-03-13,267,review
2024-03-14,247,review
2024-03-15,322,review
2024-03-16,381,review
2024-03-17,584,review
2024-03-18,874,review
2024-03-19,1312,review
2024-03-20,1932,review
2024-03-21,3310,review
2024-03-22,1021,review
2024-03-23,684,review
2024-03-24,724,review
2024-03-25,635,review
2024-03-26,488,review
2024-03-27,222,review
2024-03-28,94,review
