dtg,value,type
2024-07-01,70,review
2024-07-02,91,review
2024-07-03,94,review
2024-07-04,116,review
2024-07-05,117,review
2024-07-06,91,review
2024-07-07,105,review
2024-07-08,141,review
2024-07-09,170,review
2024-07-10,178,review
2024-07-11,176,review
2024-07-12,201,review
2024-07-13,218,review
2024-07-14,270,review
2024-07-15,470,review
2024-07-16,709,review
2024-07-17,949,review
2024-07-18,1477,review
2024-07-19,3420,review
2024-07-20,1750,review
2024-07-21,1146,review
2024-07-22,1008,review
2024-07-23,722,review
2024-07-24,804,review
2024-07-25,477,review
2024-07-26,128,review
2024-07-27,48,review
2024-07-28,57,review
2024-07-29,62,review
2024-07-30,18,review
2024-07-30,2,meta
2024-07-31,4,meta
2024-07-31,7,review
2024-08-01,12,review
2024-08-01,16,meta
2024-08-02,6,review
2024-08-02,57,meta
2024-08-03,6,review
2024-08-03,174,meta
2024-08-04,2,review
2024-08-04,327,meta
2024-08-05,2,review
2024-08-05,457,meta
2024-08-06,7,review
2024-08-06,606,meta
2024-08-07,5,review
2024-08-07,1485,meta
2024-08-08,1004,meta
2024-08-08,4,review
2024-08-09,1,review
2024-08-09,345,meta
2024-08-10,135,meta
2024-08-11,72,meta
2024-08-12,56,meta
2024-08-13,46,meta
2024-08-14,17,meta
2024-08-15,9,meta
2024-08-16,2,meta
2024-08-17,2,meta
2024-08-20,1,review
