dtg,value,type
2024-10-29,20,review
2024-10-30,61,review
2024-10-31,38,review
2024-11-01,46,review
2024-11-02,60,review
2024-11-03,66,review
2024-11-04,62,review
2024-11-05,79,review
2024-11-06,83,review
2024-11-07,90,review
2024-11-08,77,review
2024-11-09,66,review
2024-11-10,123,review
2024-11-11,149,review
2024-11-12,143,review
2024-11-13,203,review
2024-11-14,267,review
2024-11-15,323,review
2024-11-16,415,review
2024-11-17,935,review
2024-11-18,1970,review
2024-11-19,1228,review
2024-11-20,625,review
2024-11-21,621,review
2024-11-22,367,review
2024-11-23,162,review
2024-11-24,113,review
2024-11-25,111,review
2024-11-26,40,review
2024-11-27,19,review
2024-11-27,3,meta
2024-11-28,22,meta
2024-11-28,11,review
2024-11-29,4,review
2024-11-29,40,meta
2024-11-30,2,review
2024-11-30,56,meta
2024-12-01,2,review
2024-12-01,107,meta
2024-12-02,155,meta
2024-12-02,3,review
2024-12-03,3,review
2024-12-03,153,meta
2024-12-04,1,review
2024-12-04,203,meta
2024-12-05,379,meta
2024-12-06,735,meta
2024-12-07,485,meta
2024-12-08,229,meta
2024-12-09,113,meta
2024-12-10,27,meta
2024-12-11,21,meta
2024-12-12,10,meta
2024-12-13,3,meta
