dtg,value,type
2025-08-13,10,review
2025-08-14,37,review
2025-08-15,29,review
2025-08-16,24,review
2025-08-17,27,review
2025-08-18,44,review
2025-08-19,38,review
2025-08-20,42,review
2025-08-21,46,review
2025-08-22,43,review
2025-08-23,61,review
2025-08-24,82,review
2025-08-25,104,review
2025-08-26,112,review
2025-08-27,154,review
2025-08-28,165,review
2025-08-29,151,review
2025-08-30,197,review
2025-08-31,352,review
2025-09-01,813,review
2025-09-02,450,review
2025-09-03,503,review
2025-09-04,215,review
2025-09-05,86,review
2025-09-06,54,review
2025-09-07,55,review
2025-09-08,83,review
2025-09-09,40,review
2025-09-10,23,review
2025-09-11,10,review
2025-09-12,6,review
2025-09-13,14,review
2025-09-14,25,review
2025-09-15,6,review
2025-09-16,3,review
2025-09-19,1,review
2025-09-20,6,meta
2025-09-21,66,meta
2025-09-22,83,meta
2025-09-23,96,meta
2025-09-24,111,meta
2025-09-25,229,meta
2025-09-26,369,meta
2025-09-27,147,meta
2025-09-28,66,meta
2025-09-29,30,meta
2025-09-30,43,meta
2025-10-01,28,meta
2025-10-02,14,meta
