dtg,value,type
2026-01-20,73,review
2026-01-21,107,review
2026-01-22,94,review
2026-01-23,112,review
2026-01-24,73,review
2026-01-25,83,review
2026-01-26,153,review
2026-01-27,148,review
2026-01-28,165,review
2026-01-29,193,review
2026-01-30,230,review
2026-01-31,265,review
2026-02-01,573,review
2026-02-02,836,review
2026-02-03,1013,review
2026-02-04,1535,review
2026-02-05,1986,review
2026-02-06,3227,review
2026-02-07,4664,review
2026-02-08,5194,review
2026-02-09,1618,review
2026-02-10,1628,review
2026-02-11,1529,review
2026-02-12,805,review
2026-02-13,539,review
2026-02-14,556,review
2026-02-15,497,review
2026-02-16,363,review
2026-02-17,155,review
2026-02-18,76,review
2026-02-19,55,review
2026-02-20,42,review
2026-02-21,34,review
2026-02-22,16,review
2026-02-23,10,review
2026-02-24,11,review
2026-02-25,6,review
2026-02-26,110,meta
2026-02-26,4,review
2026-02-27,421,meta
2026-02-28,383,meta
2026-03-01,458,meta
2026-03-02,945,meta
2026-03-03,1338,meta
2026-03-03,1,review
2026-03-04,2428,meta
2026-03-04,1,review
2026-03-05,1996,meta
2026-03-05,1,review
2026-03-06,563,meta
2026-03-07,460,meta
2026-03-08,128,meta
2026-03-09,94,meta
2026-03-10,16,meta
2026-03-11,2,meta
