dtg,value,type
2026-06-15,6,review
2026-06-16,192,review
2026-06-17,258,review
2026-06-18,281,review
2026-06-19,255,review
2026-06-20,217,review
2026-06-21,306,review
2026-06-22,653,review
2026-06-23,708,review
2026-06-24,690,review
2026-06-25,761,review
2026-06-26,852,review
2026-06-27,739,review
2026-06-28,1279,review
2026-06-29,2346,review
2026-06-30,2866,review
2026-07-01,4708,review
2026-07-02,7447,review
2026-07-03,6936,review
2026-07-04,1884,review
2026-07-05,2509,review
2026-07-06,2820,review
2026-07-07,1423,review
2026-07-08,958,review
2026-07-09,489,review
2026-07-10,229,review
2026-07-11,124,review
2026-07-12,92,review
2026-07-13,82,review
2026-07-14,56,review
2026-07-15,36,review
2026-07-16,11,review
2026-07-17,12,review
2026-07-18,6,review
2026-07-19,282,meta
2026-07-19,4,review
2026-07-20,5,review
2026-07-20,868,meta
2026-07-21,1175,meta
2026-07-22,1686,meta
2026-07-23,3323,meta
2026-07-23,3,review
2026-07-24,3029,meta
2026-07-25,1,review
2026-07-25,963,meta
2026-07-26,1093,meta
2026-07-27,5,review
2026-07-27,995,meta
2026-07-28,240,meta
2026-07-29,83,meta
2026-07-30,36,meta
2026-07-31,1,review
2026-07-31,29,meta
2026-08-02,1,meta
