dtg,value,type
2021-07-29,1,review
2021-07-30,1,review
2021-07-31,1,review
2021-08-01,1,review
2021-08-02,1,review
2021-08-04,1,review
2021-08-07,2,review
2021-08-08,2,review
2021-08-09,1,review
2021-08-10,2,review
2021-08-11,2,review
2021-08-12,11,review
2021-08-13,24,review
2021-08-14,5,review
2021-08-15,1,review
2021-08-16,5,review
2021-08-16,1,meta
2021-08-17,2,review
2021-08-17,1,meta
2021-08-18,1,review
2021-08-18,1,meta
2021-08-19,4,meta
2021-08-19,4,review
2021-08-20,1,review
2021-08-20,4,meta
2021-08-21,1,meta
2021-08-21,1,review
2021-08-22,4,meta
2021-08-22,2,review
2021-08-25,1,review
2021-08-26,1,meta
2021-08-26,2,review
2021-08-27,1,review
2021-08-30,1,meta
2021-08-31,1,meta
2021-09-07,1,review
2021-09-16,2,review
2021-09-17,2,meta
2021-09-19,1,meta
2021-09-26,1,review
2021-09-27,1,meta
2021-10-03,1,meta
2021-10-04,1,review
2021-10-10,2,review
2021-10-13,1,meta
2021-10-20,2,meta
