dtg,value,type
2021-07-05,1,review
2021-07-10,1,review
2021-07-12,1,review
2021-07-13,2,review
2021-07-14,13,review
2021-07-15,13,review
2021-07-20,4,review
2021-07-21,6,review
2021-07-22,1,review
2021-07-22,1,meta
2021-07-23,1,review
2021-07-24,1,review
2021-07-25,1,meta
2021-07-26,4,review
2021-07-27,2,review
2021-07-27,2,meta
2021-07-28,3,meta
2021-07-28,6,review
2021-07-29,2,meta
2021-07-30,1,review
2021-07-31,2,meta
2021-08-01,1,review
2021-08-01,2,meta
2021-08-03,1,meta
2021-08-11,1,meta
2021-08-13,1,review
2021-08-21,1,review
2021-08-23,1,meta
2021-08-23,2,review
2021-08-24,1,review
2021-08-24,1,meta
2021-08-25,1,review
2021-08-28,1,review
2021-08-28,1,meta
2021-08-29,1,review
2021-09-02,1,meta
2021-09-11,1,meta
2021-09-16,1,meta
2021-09-17,1,review
2021-09-24,1,meta
2021-09-30,1,review
2021-10-03,1,review
2021-10-13,1,meta
2021-10-19,1,review
