dtg,value,type
2021-05-24,1,review
2021-05-26,4,review
2021-05-27,2,review
2021-05-31,3,review
2021-06-01,1,review
2021-06-02,7,review
2021-06-03,1,review
2021-06-04,5,review
2021-06-06,3,review
2021-06-07,5,review
2021-06-08,4,review
2021-06-09,4,review
2021-06-10,6,review
2021-06-11,10,review
2021-06-12,9,review
2021-06-13,14,review
2021-06-14,56,review
2021-06-15,24,review
2021-06-16,1,meta
2021-06-16,5,review
2021-06-17,1,review
2021-06-17,2,meta
2021-06-18,2,review
2021-06-18,2,meta
2021-06-19,6,meta
2021-06-20,1,review
2021-06-20,4,meta
2021-06-21,3,meta
2021-06-22,1,review
2021-06-22,2,meta
2021-06-23,1,meta
2021-06-24,4,meta
2021-06-25,1,meta
2021-06-27,1,review
2021-06-27,2,meta
2021-06-28,2,review
2021-06-28,2,meta
2021-06-29,3,meta
2021-06-29,1,review
2021-06-30,7,meta
2021-07-01,2,meta
2021-07-01,1,review
2021-07-02,1,review
2021-07-02,3,meta
2021-07-03,1,meta
2021-07-04,1,meta
2021-07-05,1,meta
2021-07-05,3,review
2021-07-06,2,meta
2021-07-07,1,review
2021-07-08,2,review
2021-07-09,1,meta
2021-07-09,1,review
2021-07-12,1,meta
2021-07-13,2,meta
2021-07-14,1,meta
2021-07-15,4,meta
2021-07-15,1,review
2021-07-16,2,meta
2021-07-16,5,review
2021-07-18,1,meta
2021-07-19,1,meta
