dtg,value,type
2021-11-30,60,review
2021-12-01,62,review
2021-12-02,51,review
2021-12-03,44,review
2021-12-04,41,review
2021-12-05,39,review
2021-12-06,56,review
2021-12-07,62,review
2021-12-08,68,review
2021-12-09,72,review
2021-12-10,68,review
2021-12-11,55,review
2021-12-12,75,review
2021-12-13,152,review
2021-12-14,150,review
2021-12-15,180,review
2021-12-16,197,review
2021-12-17,162,review
2021-12-18,105,review
2021-12-19,150,review
2021-12-20,271,review
2021-12-21,3,meta
2021-12-21,336,review
2021-12-22,384,review
2021-12-23,439,review
2021-12-24,449,review
2021-12-25,396,review
2021-12-26,1,meta
2021-12-26,792,review
2021-12-27,9,meta
2021-12-27,1743,review
2021-12-28,43,meta
2021-12-28,1879,review
2021-12-29,288,review
2021-12-29,22,meta
2021-12-30,189,review
2021-12-30,22,meta
2021-12-31,132,review
2021-12-31,25,meta
2022-01-01,79,review
2022-01-01,9,meta
2022-01-02,47,meta
2022-01-02,58,review
2022-01-03,103,review
2022-01-03,100,meta
2022-01-04,81,review
2022-01-04,108,meta
2022-01-05,194,meta
2022-01-05,56,review
2022-01-06,36,review
2022-01-06,253,meta
2022-01-07,526,meta
2022-01-07,20,review
2022-01-08,619,meta
2022-01-08,8,review
2022-01-09,321,meta
2022-01-09,4,review
2022-01-10,191,meta
2022-01-10,12,review
2022-01-11,44,meta
2022-01-12,4,meta
2022-01-13,7,meta
2022-01-13,1,review
2022-01-14,2,review
2022-01-14,13,meta
2022-01-15,14,meta
2022-01-16,2,meta
2022-01-17,2,meta
2022-01-18,2,meta
2022-01-19,4,meta
