dtg,value,type
2021-10-24,6,review
2021-10-25,6,review
2021-10-26,9,review
2021-10-27,10,review
2021-10-28,11,review
2021-10-29,14,review
2021-10-30,7,review
2021-10-31,23,review
2021-11-01,14,review
2021-11-02,12,review
2021-11-03,13,review
2021-11-04,10,review
2021-11-05,8,review
2021-11-06,9,review
2021-11-07,16,review
2021-11-08,19,review
2021-11-09,14,review
2021-11-10,13,review
2021-11-11,43,review
2021-11-12,62,review
2021-11-13,52,review
2021-11-14,76,review
2021-11-15,225,review
2021-11-16,2,meta
2021-11-16,244,review
2021-11-17,75,review
2021-11-17,6,meta
2021-11-18,45,review
2021-11-18,10,meta
2021-11-19,24,review
2021-11-19,20,meta
2021-11-20,15,review
2021-11-20,15,meta
2021-11-21,31,meta
2021-11-21,17,review
2021-11-22,22,review
2021-11-22,85,meta
2021-11-23,77,meta
2021-11-23,12,review
2021-11-24,7,meta
2021-11-24,6,review
2021-11-25,9,meta
2021-11-25,2,review
2021-11-26,1,review
2021-11-26,4,meta
2021-11-27,4,meta
2021-11-27,3,review
2021-11-28,1,review
2021-11-29,5,review
2021-11-29,6,meta
2021-11-30,1,review
2021-11-30,1,meta
2021-12-01,2,meta
2021-12-01,3,review
2021-12-02,2,review
2021-12-02,3,meta
2021-12-03,2,review
2021-12-03,1,meta
2021-12-05,2,review
2021-12-05,4,meta
2021-12-07,1,review
2021-12-09,1,review
2021-12-09,1,meta
2021-12-11,1,review
2021-12-13,2,review
2021-12-13,1,meta
2021-12-14,1,meta
2021-12-15,4,meta
2021-12-15,1,review
2021-12-16,1,review
2021-12-17,1,meta
2021-12-17,1,review
2021-12-19,1,review
2021-12-21,1,meta
2021-12-22,3,review
2021-12-23,14,meta
2021-12-23,1,review
2021-12-24,1,meta
2021-12-25,1,review
2021-12-26,3,meta
2021-12-27,1,review
2021-12-27,1,meta
2021-12-28,2,meta
2021-12-28,1,review
2021-12-29,1,meta
2021-12-30,1,meta
2022-01-01,1,review
2022-01-03,1,meta
