dtg,value,type
2021-09-25,1,review
2021-09-29,6,review
2021-09-30,5,review
2021-10-01,6,review
2021-10-02,2,review
2021-10-03,3,review
2021-10-04,7,review
2021-10-05,4,review
2021-10-06,12,review
2021-10-07,4,review
2021-10-08,5,review
2021-10-09,12,review
2021-10-10,17,review
2021-10-11,21,review
2021-10-12,20,review
2021-10-13,51,review
2021-10-14,67,review
2021-10-15,174,review
2021-10-16,1,meta
2021-10-16,106,review
2021-10-17,33,review
2021-10-17,6,meta
2021-10-18,2,meta
2021-10-18,35,review
2021-10-19,14,review
2021-10-19,13,meta
2021-10-20,11,review
2021-10-20,27,meta
2021-10-21,18,meta
2021-10-21,11,review
2021-10-22,13,meta
2021-10-22,10,review
2021-10-23,6,review
2021-10-23,14,meta
2021-10-24,3,review
2021-10-24,9,meta
2021-10-25,8,meta
2021-10-25,7,review
2021-10-26,5,meta
2021-10-26,6,review
2021-10-27,7,review
2021-10-27,4,meta
2021-10-28,7,review
2021-10-28,5,meta
2021-10-29,5,meta
2021-10-29,10,review
2021-10-30,9,review
2021-10-30,3,meta
2021-10-31,8,review
2021-10-31,2,meta
2021-11-01,15,review
2021-11-01,7,meta
2021-11-02,5,meta
2021-11-02,6,review
2021-11-03,12,review
2021-11-03,2,meta
2021-11-04,8,review
2021-11-04,4,meta
2021-11-05,16,meta
2021-11-05,21,review
2021-11-06,5,meta
2021-11-06,5,review
2021-11-07,5,review
2021-11-07,3,meta
2021-11-08,3,meta
2021-11-08,2,review
2021-11-09,5,review
2021-11-09,2,meta
2021-11-10,7,meta
2021-11-10,6,review
2021-11-11,3,meta
2021-11-11,1,review
2021-11-12,2,review
2021-11-12,7,meta
2021-11-13,1,review
2021-11-14,4,meta
2021-11-14,2,review
2021-11-15,1,meta
2021-11-16,3,meta
2021-11-17,1,meta
2021-11-18,1,meta
2021-11-19,4,review
2021-11-21,1,review
2021-11-22,8,meta
2021-11-22,3,review
2021-11-23,2,meta
2021-11-23,2,review
2021-11-25,1,meta
2021-11-29,2,meta
2021-12-03,1,meta
2021-12-03,1,review
2021-12-04,1,meta
2021-12-20,2,meta
2021-12-21,1,meta
2021-12-23,2,meta
2021-12-25,2,review
2021-12-27,4,review
2021-12-27,4,meta
2021-12-28,3,review
2021-12-28,1,meta
2021-12-29,1,review
2021-12-31,1,meta
2021-12-31,4,review
2022-01-01,1,review
2022-01-02,6,review
2022-01-03,7,review
2022-01-03,2,meta
2022-01-04,4,meta
2022-01-04,7,review
2022-01-05,4,review
2022-01-06,2,review
2022-01-07,6,meta
